,D1: total word,"D1: use of ""i""",D2: total word,"D2: use of ""i""",D3: total word,D3: use of i
P1,178,8,139,1,124,6
P3,110,3,133,2,133,7
P4,227,1,187,1,139,6
P5,148,0,151,2,78,1
P6,212,6,219,4,175,9
P7,142,5,115,0,123,4
P8,137,3,146,4,151,6
P9,184,11,189,4,191,8
P10,122,8,184,9,110,7
P11,213,3,175,8,160,10
P12,199,7,226,12,188,8
P13,184,13,149,13,156,9
P14,174,10,194,13,154,5
P15,129,2,100,6,136,3
P17,129,3,138,5,201,7
P18,195,10,175,15,194,19
P19,167,3,164,5,153,2
P20,180,1,119,0,108,0
P21,196,7,153,2,134,6
P22,130,4,124,2,120,4
